id,scenario,given,required_outcome,contract_refs
R01,초안·제출 증거 분리,성공한 submission snapshot에 모든 필수 입력/첨부가 보존,owner adoption+pin release 원자성; draft chain 폐기해도 snapshot read 가능; private abandoned 값 공개 없음,RR1.2
R02,필수 증거가 초안에만 존재,required submitted note 또는 첨부가 snapshot에서 빠짐,pin release 거부; eligibility false; 필드 누락으로 폐기 유도 못함,RR1.2
R03,unknown attempt,SEALED/READY 또는 commit 결과 불명,chain/attempt pin 유지; 자동 expiry/delete 안함,"RR1.2,RR1.3"
R04,개인·업무 보존,개인 idle draft와 동료 부재 중 active work draft,개인은 제안 정책 시계로 expiry; active work는 idle만으로 삭제 안함; Account 유지,RR1.3
R05,정책 변경,prepare 후 보존 기간 연장/hold 적용,다음 batch가 현재 정책/obligation 다시 검사해 중단; 원래 정책으로 우회 없음,"RR1.3,RR1.5"
R06,신규 pin 경합,pin 생성과 prepare 동시에,같은 fence; pin 먼저면 prepare 거부; prepare 먼저면 신규 pin 거부·target 재생성 없음,"RR1.2,RR1.4"
R07,일반 경로 수정 우회,prepared target에 old tab/generic write/restore/seal,editing epoch와 type owner guard로 무효과; submitted artifact는 유지,RR1.4
R08,독립 journal 장애,INTENT 외부 write/readback 실패 또는 응답 불명,known accepted receipt 전 delete 없음; 같은 disposal identity로 조회; log를 영수증으로 취급 안함,RR1.4
R09,외부 tip 경쟁,두 job의 같은 predecessor tip CAS,한 tip만 commit; 다른 record는 재검증 후 연결; orphan object가 journal authority 되지 않음,RR1.4
R10,DB rollback과 journal,INTENT accepted 뒤 DB effect 없음/rollback,intent는 삭제 사실 아님; restore target quarantine; 증거 없이 commit/cancel 추정 없음,"RR1.4,RR1.7"
R11,runtime 삭제 우회,app role이 direct DELETE/function/SET ROLE/GUC plan spoof 시도,ordinary/business revisions 삭제 거부; 좁은 executor외 실행 불가; trigger disable 필요 없음,RR1.5
R12,forged queue scope,job에 business type/cross Company/확대 selector 삽입,executor 등록 type/manifest/policy independently 검증; 고정 범위 밖 무효과,RR1.5
R13,batch 원자성,행 삭제 후 ledger append 실패 또는 timeout,그 batch row/checkpoint/receipt 모두 rollback; 삭제 사실 선기록 없음,RR1.5
R14,batch 응답 유실,delete+ledger+receipt commit 후 client timeout,동일 batch reconcile; 실제 count 한 번; journal export 확인 전 다음 batch 없음,RR1.5
R15,대용량 이력,500행 또는 4MiB를 넘는 보존 chain,여러 bounded batch; quarantine 동안 단축 chain read 없음; timeout은 해당 batch rollback,RR1.5
R16,hold before batch,hold가 batch lock보다 먼저 commit,해당 batch 무삭제; held status 허용범위 표시,RR1.5
R17,hold after partial delete,첫 batch commit 이후 hold가 다음 batch보다 먼저,remaining bytes 보존·추가 삭제중단; 부분 소실 사실 보존; complete history로 렌더 안함,RR1.5
R18,hold 해제,partial held job에서 권한자 hold release,current policy와 범위 새 eligibility; 예전 job 권한만으로 자동 통과 안함,RR1.5
R19,폐기 취소,첫 batch 전 vs 일부 batch 후 cancel,전자는 no-effect 증거+journal cancel 이후 새epoch; 후자는 payload 복구/재개로 위장 안함,RR1.5
R20,audit/receipt 복사 누출,generic raw attributes copy 경로가 아직 존재,실제 민감 draft 활성화 거부; broad audit 삭제로 은폐하지 않음,RR1.6
R21,공유 첨부,draft와 adopted domain snapshot이 같은 file version 참조,draft ref만 release; domain/hold ref 존재 시 파일 삭제 안함,RR1.6
R22,versioned storage,key DELETE가 delete marker만 생성,version별 확인 전 모든 사본 삭제 claim 금지; lock/실패는 pending,RR1.6
