id,surface,state,visible_input_and_context,binding,next_action,accessibility_or_retention
U01,V04 / existing source object action,open or resume,허용된 법인·대상·기간과 현재 원천 객체를 자동 표시; 필요한 근거와 메모를 결정 위치에 배치,server resolves exact Company/root/revision/custody; opening GET does not create draft/effect,typed object selection or explicit edit intent; no family code/hash input,focus form heading; preserve authorized return filters
U02,V04 / source editor,saved input,입력 저장 완료; 원천 검증·급여 반영 완료와 구분,existing common object revision/CAS; source publication remains separate,continue editing/review exact proposed effect,manual save remains if hydration unavailable
U03,V04 / source editor,source or head changed before seal,허용된 변경 차이와 영향을 표시; 저장된 입력 유지,exact source refs become stale; no latest-version substitution,refresh permitted sources; review changed intent then reseal through same flow,focus conflict summary; do not steal focus during background refresh
U04,V04 / verification,verified predecessor replaced,새 검증 자료와 대체 대상의 허용된 차이를 함께 표시,one owner command: successor VERIFY2 + predecessor SUPERSEDE3 + exact effects/receipt,one confirmation where11 allows; display committed result and next required preparation,required evidence before confirmation; no blind signoff
U05,V04 / verification,previously verified but revoked predecessor replaced,기존 철회 이력과 새로 검증할 자료 연결; 이전 상태를 복원하지 않음,successor VERIFY2 + immutable kind2 claim + head pointer; old command remains unchanged,same owning verification action; no new replacement wizard,show only permitted historical evidence
U06,V04 / verification,proposal revoked before verification,검증 완료 자료의 후속으로 연결할 수 없음; 허용된 정정 방법 제시,REVOKE2 cannot be claim basis; immutable prior VERIFY evidence absent,preserve draft; create corrected admission with supersedes=null through owner if authorized,do not claim unverified evidence was previously valid
U07,V04 / execution status,commit acknowledgement lost,처리 결과 확인 중; 입력을 다시 제출하게 하지 않음,same attempt/command reconciliation; absence of response is not rollback,bounded result refresh then allowed paused/manual investigation path,persistent accessible status; no toast-only unknown outcome
U08,V04 / execution status,proven no-effect structural failure,허용된 입력 보존; 공개 가능한 오류 분류와 담당 복구 경로 표시,typed owner error; raw FK/row/key/DETAIL never rendered or logged,same intent retry only if unchanged and owner proves retry permitted; otherwise repair/review/reseal,error summary links to authorized field or owning task
U09,all linked source/result views,field or object authority revoked,허용되지 않은 값·차이·옵션·건수 제거; 나머지 허용 내용 유지,current tenant/Cedar applies independently of FK existence; pending work retained server-side,permitted navigation or eligible task handover; no hidden ref copied into new form,no stale sensitive pane on scope change
U10,V04 / source history,successor later revoked,과거 대체 연결 유지; 현재 사용 불가와 후속 보완 표시,historical successor VERIFY2 reference remains valid; current eligibility checks REVOKE3,new permitted correction source; prior predecessor never auto-reactivated,history/current status labels distinct
U11,V04 -> V06/V07,successful source publication,원천 반영 완료와 이후 준비·마감·계산 필요 상태를 구분,immutable receipt proves source effects only; current owner projects visible results,next action from current prerequisites; no implied recalculation/payment,focus durable result heading; preserve required notes through domain adoption
