id,surface,invariant,database_responsibility,trusted_rust_responsibility,remaining
O20-01,all source/native writes,one Company and owner/action/type,composite FKs/RLS + immutable owner binding + fixed finalizer,Cedar and semantic field authority in trusted Rust,full referenced FKs and row guards F02
O20-02,source families,missing or changed fact cannot evade guard,preinitialized PK guarded rows; EXCLUSIVE generation checked increment,complete dependency/predicate resolution,private helper bodies and all writer census F02
O20-03,common source types,generic write cannot mutate owner facts,binding lookup + protected row trigger current_user whitelist + no helper grants,registered private draft versus domain mutation distinction,generic create/revise/link/lifecycle triggers F02
O20-04,receipts/attempts,same command never second effect,Company command fence + provenance/receipt uniqueness + exact CAS,historical current disclosure before new-effect check,Account/receipt roster/attempt tables F01/F02
O20-05,finalizer,one atomic effect with gate/work/pins/audit,one function call within same SQLx transaction; no caught partial mutation; deferred constraints,one trusted validated prepared outcome,all private participant SQL bodies F02-F04
O20-06,source publication,current exact bytes and full source basis,current attestation/heads under guards; exact sameCompany references,source19 pure decoder and source semantics,version GET/provider attestation and supply F03/F04
O20-07,payroll calculation,input outcome membership and money ownership,native18 exact FKs/deferred completeness/sealed append and finalizer,existing trusted Rust arithmetic; SQL not second calculator,prepared row carrier and complete function implementation F02
O20-08,retention,draft cleanup cannot remove adopted evidence,shared unit lock/pin/adoption/FK atomically before private pin release,independent readable adoption and permitted projections,retention adapter schema/provider issuance F03
O20-09,time,expiry cannot be cached through mutation,SQL authoritative current clock and guarded finite source expiry checks,current Cedar valid-until under held authority guards; final precommit check,exact validity carrier/enrollment proof F04
O20-10,legacy aliases,request protocol cannot downgrade enrolled target,server enrollment/owner binding floor in callable and raw SQL boundaries,adapter delegation/error projection,full alias/trigger/maintenance inventory F02/F05
O20-11,locks,no upgrade or late earlier lock,fixed total order and reentrant same legacy key derivations,preplan bounded resource union/restart,whole native lock footprint and stress F02/F08
O20-12,transport,full source no hidden truncation,immutable acknowledged revision ref + retained snapshot binding,registered partial codec and literal envelope bounds,all non-calendar/source command codecs F01
O20-13,credential,no generic runtime/private helper write capability,NOLOGIN definer; explicit grants; no cmd SET/INHERIT or schema CREATE,every ontology command credential holder trusted,actual role/secret/process census F04
O20-14,response,hidden object not leaked or reexecuted,RLS cell floor and owner query,current per-field/derived/history SSR/error disclosure,integrated Account/policy query surfaces F01/F04
