screen,state,applicability,condition,visible,allowed_actions,preservation,focus,proof,contract_refs
V01,LOADING,APPLIES,현재 context의 authorized DTO 조회중,현재 선택 범위·법인 식별·조회 시점; hidden 법인 수 없음의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,선택 가능한 허용 범위 없음; 나의 기록/허용 업무공간,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,현재 선택 범위·법인 식별·조회 시점; hidden 법인 수 없음,NAV_SCOPE,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,허용 범위/기간 미선택; 선택부터 완료,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,알 수 있는 법인 조회 실패만 표시; 범위 합계 없음,NAV_SCOPE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,권한/멤버십 변경; 선택 다시 검증; old draft 불변,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,범위·기간 선택의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,UNKNOWN,NOT_APPLICABLE,조회/탐색 전용 surface는 business mutation receipt를 갖지 않음,이 화면의 조회 불확실성은 LOADING/FAILED/PARTIAL; linked action의 UNKNOWN은 해당 owner surface에서,REFRESH,허용 filter/navigation만,조회 상태 heading,authorized current read/scope projection,UX1.6;UX1.2;GO1
V01,SUCCESS,APPLIES,Successful authorized read/navigation resolves to usable READY content; preserve currently authorized read-context actions,허용 범위 적용; V02 이동; next navigation uses screen-map.success destination and currently authorized object link; 본인 정정요청 등 현재 허용 진입은 refresh 없이 유지,NAV_SCOPE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,authorized current read/scope projection,UX1.6;UX1.2;GO1
V02,LOADING,APPLIES,현재 context의 authorized DTO 조회중,각 허용 run 준비/결과·시간·정확 다음 업무; 집계는 별도권한의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,허용 범위에 작업 없음; 권한 있으면 V03 생성,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,각 허용 run 준비/결과·시간·정확 다음 업무; 집계는 별도권한,NAV_INPUTS;LAUNCH_GROUP_CALC,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,계산 준비 안 된 선택; V04 보완 또는 명시 subset,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,허용/조회성공 범위만 표시; 전체 완료/금액 추정 금지,NAV_INPUTS;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,관찰 갱신 필요; immutable action manifest 별도,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,전사·법인 급여 진행의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V02,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; Group launch command/operation receipt,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,Group launch command/operation receipt,UX1.6;UX1.7;GO1
