id,family,phase,accountable_owning_layer,intended_acceptance_outcome,preservation_obligation,later_adoption_classification,invalidation_trigger,dependencies,authority_and_design_refs,evidence_status
CF-F01,"Data connectivity, integration, transformation and orchestration",LATER_CAPABILITY; internal custody dependency only now,Existing source-domain application/adapter owners; platform integration boundary,"An admitted connector/transformation produces typed, attributable source revisions with bounded replay, provenance, error and repair behavior.","Keep native business intent distinct from ingested/source facts; immutable source IDs, schema versions, owner receipts and current authorization; custody is not a shipped ingest product.",UNKNOWN,Import overwrites native truth; new connector bypasses owner; source key or time semantics incompatible with native schema.,CF-F02; CF-F03; CF-F11; CF-C12,docs/current/PRODUCT.md:23; docs/current/PRODUCT.md:27; docs/current/ROADMAP.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:7,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F02,"Ontology objects, typed properties, links and interfaces",FIRST_SLICE_FOUNDATION; full ontology breadth later,Existing ontology application/kernel contracts plus canonical domain-owned projections,"Selected objects and typed commands retain identity, field meaning, relationship integrity, provenance and authorized reusable views; later leaves have their own acceptance.",Stable object/type/property/item IDs; schema and revision references; exact units/time; current field/resource policy; one canonical domain writer.,ADDITIVE_CONDITIONAL,"New type requires reinterpreting existing IDs, replacing property meaning, changing legal Company boundary or bypassing canonical writer.",CF-C01; CF-C02; CF-F11,docs/current/PRODUCT.md:23; docs/current/PRODUCT.md:31; docs/current/PRODUCT.md:34; docs/current/PRODUCT.md:46; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:13; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:15; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:19,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F03,"Actions, functions, validation, automation and effect receipts",FIRST_SLICE_FOUNDATION; general automation later,Existing ontology application dispatch with fixed domain participants and owner adapters,"Each admitted first-slice action validates current inputs/authority, preflights without mutation, commits once and returns only the currently authorized projection of the original outcome/receipt on replay.","Closed versioned command semantics, owner dispatch, expected revisions, deterministic encoding, preflight/current policy, effect versus notification distinction.",ADDITIVE_CONDITIONAL,"New automation executes arbitrary callbacks, changes old sealed command semantics, introduces a second writer or turns receipt replay into a new action.",CF-F02; CF-F04; CF-F11,docs/current/PRODUCT.md:31; docs/current/PRODUCT.md:34; docs/current/PRODUCT.md:36; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:3; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:4; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:12,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F04,"Drafts, change history, snapshots, replay and finalization",FIRST_SLICE_FOUNDATION; broader historical analysis later,Existing ontology/common draft application owner and owning domain receipt/custody boundaries,"Save, reopen, restore permitted fields, seal and execute preserve acknowledged input, immutable history and actor/company binding.",Stable FieldAddress with parent item IDs; schema/version history; incomplete editor text distinct from typed value; immutable sealed input; restoration appends.,MIGRATION_IF_TRIGGERED,"Old schema/receipt bytes rewritten, row addressing becomes positional, history needed later was discarded or account/private custody was collapsed into employment.",CF-F02; CF-F03; CF-C01; CF-C12,docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:4; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:5; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:15; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:19; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:30,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F05,"Shared approvals, work assignment, delegation and continuity",FIRST_SLICE_DEPENDENCY; other process families later,Existing workflow and governance application owners; Group capacity owner; domain decision owner,"Automatic/manual assignment and temporary/permanent transfer maintain one accountable task owner, capacity and current authority, with supervised no-candidate recovery.","Task/definition identity, ownership/assignment epochs, attribution, policy-derived eligibility, bounded capacity/fairness and no actor-intent transplantation.",ADDITIVE_CONDITIONAL,"New process requires payroll-only task roles, identity storage roots, unbounded candidate search or sharing one task among multiple accountable owners.",CF-F03; CF-F04; CF-C01; CF-F11,docs/current/PRODUCT.md:27; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:11; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:6; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:15; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:18,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F06,"Analytics, search, saved explorations, time-series, geospatial and multimodal views",LATER_CAPABILITY; admitted first-slice views only now,Canonical domain read projections plus existing analytics/application and UI adapters,"Each later analytical leaf answers declared questions from authorized data with reproducible units, time, lineage and explicit result limits.","Policy-aware projection, linked identity, versioned saved criteria, bounded pagination/aggregation and history availability; do not expose hidden population through derived values.",UNKNOWN,Analytical scale or semantics require materialization/index changes; saved filters lose historical meaning; aggregates assume access to undisclosed fields.,CF-F02; CF-F04; CF-F11,docs/current/PRODUCT.md:23; docs/current/PRODUCT.md:32; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:9; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:12; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:17,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F07,"Fusion-like spreadsheets, formulas and enterprise coediting",LATER_CAPABILITY,Existing ontology object/action contracts consumed by future sheet application/UI owner; owner identity finalized at later admission,"Declared formula, structural edit, object writeback, concurrent edit and reconnect cases preserve exact values and defined conflicts under the chosen workload.","Stable field/cell/item addressing, exact typed values, versioned formulas/schema/structure, owner-bound actions and current policy; preserve a replaceable collaboration seam.",UNKNOWN,"Formula dependencies, cell identity, structure operations or measured contention cannot be represented without transforming persisted draft/object state.",CF-F02; CF-F03; CF-F04; CF-F11,docs/current/PRODUCT.md:27; docs/current/ROADMAP.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:13; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:15,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F08,"Collaborative documents, communications and policy-bound object links",LATER_CAPABILITY,"Future communication/document application owners with existing object, policy, workflow and Leptos UI boundaries","Later documents and communications preserve authorized links, authorship, audience and delivery state while remaining discoverable beside business work.","Independent persistent communication surface; immutable business links, content revisions and authorship; separate audience policy and delivery outcome.",ADDITIVE_CONDITIONAL,"Communication storage treats Employment as login identity, derives authority from job labels or depends on transient payroll inspection panels.",CF-F02; CF-F03; CF-C01; CF-F11; CF-C12,docs/current/PRODUCT.md:27; docs/current/ROADMAP.md:50; docs/current/ROADMAP.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:13,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F09,"Developer APIs, SDKs, application building and integrations",FIRST_SLICE_ADAPTERS; general developer platform later,Existing application use cases; REST/UI sibling adapters where selected; contracts/OpenAPI serialized owner,First-slice SSR/API adapters call the same authoritative use cases; later public tooling preserves versioned contracts and declared compatibility.,Server-derived context and policy; transport-independent owner commands/results; versioned DTOs; no universal REST-layer cleanup prerequisite.,ADDITIVE_CONDITIONAL,"An SDK depends on internal custody/control DTOs, transport bypasses owner or compatibility requires rewriting persisted intents.",CF-F02; CF-F03; CF-F11,docs/current/PRODUCT.md:46; docs/current/ROADMAP.md:19; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:3; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:4; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:17,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-F10,AI platform and model development/operations,LATER_CAPABILITY_SEPARATE_REPOSITORY_HOLD,Separate Intelligence repository; Console-owned fail-closed application seam,"After stable Intelligence SHA and separate admission, chosen model capabilities use the same Principal, object/action owners and explicit evidence/authority limits.",Keep existing bind-only loopback seam; no tenant chat/inference/payroll write or autonomous merge; deterministic business authority remains independent.,UNKNOWN,"A model integration needs a second writer, tenant inference before admission, non-loopback exposure or cloning without named stable base.",CF-F02; CF-F03; CF-F11,docs/current/PRODUCT.md:25; docs/current/PRODUCT.md:56; docs/current/ROADMAP.md:33,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
