id,scenario,given,required_outcome,contract_refs
F01,저장과 업무 사실 분리,허용된 wage form에서 미완성값 자동저장,draftrevision/receipt만증가; wage/Employment/PayRun/application/task/approval 변화없음,"FD1.3,FD1.4"
F02,완전한 양성 입력→실행,정상월급 입력·저장 ACK·seal·명시execute,같은domain owner로단한번write/receipt; attemptSUCCEEDED+draftCONSUMED와원자commit; SSR허용값만,FD1.7
F03,Account-only 지원자,업무role/Employee없는Account; 게시공고의targetCompany,자기inputdraft작성/재개; 관리자개인초안읽기불가; fakeEmployment불필요,"FD1.1,FD1.2,FD1.10"
F04,두 탭 같은 그룹 수정,samebase amount/currency그룹을서로다르게변경,한save만commit; 다른입력보존·허용diff/명시선택; lastwriterwins없음,FD1.5
F05,독립 그룹 자동 병합,retainedsamebase의서로독립schema그룹변경,serverthreeway 검증후새CAS save; 양쪽값보존; 최대2rebase·noLLM,FD1.5
F06,의미상 결합 그룹,서로다른field지만periodstart/end한그룹,자동merge안함; 기간의미검토/재검증후명시save,FD1.5
F07,보존 중인 오래된 기준,다른 탭의 base 이후 25개 revision 존재; 보존 기간 내,공통 이력에서 정확한 base 조회; 독립 그룹만 CAS 병합; 20개 제한으로 소실시키지 않음,"FD1.5,FD1.11,FD1.16"
F08,save 응답 유실·순서 역전,savecommit후timeout; laterdirty변경 및oldACK도착,samecommandidreceipt확인; oldACK가새head/dirty상태되돌리지않음; alldirtyACK전저장됨금지,FD1.4
F09,오프라인 및 창 종료,연결끊김·새input은RAM·serverlastACK존재,unsaved명확; 복귀시currentpolicy/head와reconcile; 새창은lastserverACK까지만복구; rawbrowserdisk없음,FD1.6
F10,내부 이동과 법인 전환,A초안dirty; B화면선택; A늦은save응답,A원scopeflush/오류선택; B에는Bdraft만; oldpayload를B로retarget하지않음,"FD1.2,FD1.6"
F11,권한회수와 draftsave,field/action/workassignment 회수중 oldtabsave,currentguard로거부; revokedprops/RAMclear; oldpermission으로save/read/history우회없음,"FD1.4,FD1.10"
F12,숨긴 필드 보존,successor는일부savedfields만볼수있음,허용patch는hiddenfields유지; omitted는clear아님; hiddenvalues/conflictmetadata/SSR미노출,"FD1.4,FD1.9,FD1.10"
F13,미완성 셀·명시clear,declarednumericfield에-; requiredunset;별도clear,boundededitorstate저장가능; businesssealed값으로통과불가; arbitrarykey/credential/HTMLexec거부,FD1.3
F14,원천 변경과 사용자 입력,linkeddefaultsource변경;별도userauthoredamount존재,untoucheddefault는허용된변경표시; typed입력보존및stale; sealedpayload자동변경없음,FD1.3
F15,seal 이전 최신입력 flush,localdirty가serverrevision보다앞섬,모든선택입력ACK후정확revisionseal; saving을submitted로표시않음,"FD1.4,FD1.7"
F16,sealcommit 후 browsercrash,attemptREADY·draftSEALED; 실행요청미도착,readyintent로재개; 아직제출안됨; 현재권한으로같은attempt명시execute; 자동대리실행없음,FD1.7
F17,business commit 후 응답 유실,owner효과+receipt+SUCCEEDED원자commit,현재허용원결과replay; 두번째효과없음; draft만READY로남는성공gap없음,"FD1.7,FD1.8"
F18,중복 execute,동일sealedattempt로두요청동시실행,같은guard에서serialize; 하나효과·receipt; 다른것원결과,FD1.8
F19,cancel vs execute,READYattempt의취소/실행경합,cancel먼저면delayedexecute거부; execute먼저면cancel효과취소불가·owner정정경로,FD1.8
F20,오래된 preflight/게이트,seal후resource/policy/source변경,executecurrentguard로무효과; preflightsnapshot/grantedbutton만으로실행불가; gate미소비,FD1.7
F21,직접 business route 우회,CANCELLEDattempt의domaincommandid를legacyAPI에직접전달,sharedowner가attemptprovenance/terminalguard검사해거부; 별도경로중복효과없음,FD1.12
F22,업무초안 인계,EDITABLEworkdraft; currentassignment A→B원자변경,originalcreatorA보존; B현재허용input재개; A늦은save/execute가newcustody차지불가,FD1.9
F23,SEALED 업무 인계,A의READYsealedattempt가있는task를B에게이전,samebarrier로noeffectcancel후Beditable; B가새identity/intent로명시seal; A명령이식없음,FD1.9
F24,완료/불명 결과 인계,별도AeffectSUCCEEDED 또는실행중unknown,성공은원actorreceipt유지·B후속task; unknown은serialize결과확인전unstarted취급금지,"FD1.8,FD1.9"
F25,퇴사 전 개인 신청 초안,Account-owned PTO/application작성중;퇴사또는상사열람요청,개인intent자동인계/공개없음; Account유지·현policyownaccess평가; workdraft와다른custody,"FD1.2,FD1.9"
