key	before	after	refusal
draft.save	EDITABLE account-custodied draft at exact head/epoch; source_note TEXT field editable	Append one acknowledged content revision; source_note becomes 계약 근거 메모; rotate continuation; no domain wage effect	Stale expected_revision_id refuses and preserves current head
draft.restore	EDITABLE draft plus retained permitted older revision with selected source_note	Append new revision copying only selected exact older field; retain both historical revisions	Hidden source field or different Company revision refuses
attempt.cancel	Original READY attempt; owner receipt proves definitive no effect	Attempt becomes CANCELLED exactly once; no domain write; preserve submitted content	Lost/unknown owner outcome must not become CANCELLED
payroll.create_run	Registered nonproduction profile and scope; no command receipt or allocated run	One STAGED payable=false run with exact period/pay date/profile/scope and one receipt	Same command id with changed period refuses without second run
payroll.create_contract_wage	Current same-Company Employee+Employment; source generation1; real account authority	Append one immutable monthly wage3000000/209; increment wage source guard; no money result	Different-Company employment refuses atomically
payroll.correct_contract_wage	Immutable base wage3000000 and current correction head; permitted original actor	Append one correction3100000/209; advance exact head and source guard; preserve original wage	Mismatched base Company refuses; no correction/head change
payroll.prepare_inputs	STAGED run with full one-member population and source fixtures resolved by owners	Private BUILDING completes/seals/activates one full native input under original command; no money row	Changed population/source guard at finalization refuses activation and preserves acknowledged intent
payroll.reopen_inputs	Current ATTENDANCE_CLOSED run and exact supplied run/input revision	Run reopened with monotonic revision; historical input/close refs remain	Stale close/input head cannot reopen newer state
payroll.close_attendance	Resolved activated input and exact same membership close basis; attest=true	ATTENDANCE_CLOSED payable=false; retain exact close basis/manifest and receipt	Blocked member or incomplete close member set prevents close
payroll.calculate_run	ATTENDANCE_CLOSED run and current exact resolved native input	CALCULATED payable=false; exactly one outcome per member, existing money row only for SUCCESS	Semantic digest substituted for input custody digest refuses
payroll.open_review_cycle	CALCULATED run with exact batch and current registered review derivation	REVIEWING with one complete immutable cycle/member/basis set and receipt	Incomplete basis membership prevents cycle completion
review.submit	Current open basis and evidence contract; original submitter authorized	One governance request bound to exact basis; submitted evidence protected atomically	Wrong basis digest refuses without request/evidence mutation
review.decide	Pending request; independent actual reviewer Human and applicable credential current	Append APPROVE decision for exact basis/request; completion only when all obligations met	Same Human through another Account cannot approve own request
review.withdraw	Current exact approved decision and authorized withdrawal actor	Append decision withdrawal; invalidate dependent completion without rewriting old decision	Different request/decision pair refuses
