id,contract,scenario,required_oracle,status
P01,CA16,"Same transfer initiated from task, inbox or automation",Same registered owner/input/receipt/authority; no entry-route bypass,NONEXECUTABLE_CANDIDATE
P02,CA16,New reason label configured,No new API/transition; reason cannot grant permission,NONEXECUTABLE_CANDIDATE
P03,CA16,Workload reason with Account AVAILABLE,Transfer checks real capacity without marking person absent,NONEXECUTABLE_CANDIDATE
P04,CA16,Caller claims instruction from a chief executive,Only current correlated action permission matters,NONEXECUTABLE_CANDIDATE
P05,CA16,Unknown industry uses registered WorkDefinition,Common operation unchanged; unsupported domain invariant blocks owner activation,NONEXECUTABLE_CANDIDATE
P06,WC16,Two assignees nominated for one atomic work item,Choose one actual assignee or explicit permitted task split,NONEXECUTABLE_CANDIDATE
P07,WC16,Parsed legacy claim idempotency key lost,Enrolled alias delegates command identity or refuses,NONEXECUTABLE_CANDIDATE
P08,WC16,Legacy SUPER_ADMIN self-approval exception,Cannot bypass new independent-human requirement,NONEXECUTABLE_CANDIDATE
P09,WC16,Absent source effect vs manual transfer concurrent,Same task epoch/capacity guards; one ordered winner,NONEXECUTABLE_CANDIDATE
P10,WC16,Two Companies compete for final account capacity,Single Group control enforces one feasible admission,NONEXECUTABLE_CANDIDATE
P11,WC16,Paused task or unknown effect lease expires,Charge stays active; no TTL release,NONEXECUTABLE_CANDIDATE
P12,WC16,Limit reduced below current used units,"Block positive net admission, preserve tasks/release path",NONEXECUTABLE_CANDIDATE
P13,WC16,Changing assignment is a policy operand,Company authority EXCLUSIVE acquired before task mutation,NONEXECUTABLE_CANDIDATE
P14,WC16,Candidate only permitted when assigned,Trusted proposed-assignment probe then real-policy recheck; no arbitrary assumed grant,NONEXECUTABLE_CANDIDATE
P15,WC16,Recipient cannot see required decision evidence,No assignment that pretends they can decide it,NONEXECUTABLE_CANDIDATE
P16,WC16,Reason says permanent but intent is temporary,Typed intent authoritative; reason label no branch,NONEXECUTABLE_CANDIDATE
P17,WC16,Stop after one task of plan commits,"Keep one real result; later tasks fenced, no rollback fiction",NONEXECUTABLE_CANDIDATE
P18,WC16,Work-bound sealed intent has UNKNOWN effect,Reconcile; never retarget author or release capacity,NONEXECUTABLE_CANDIDATE
