id,surface,state,visible,actions,focus,invariant
V01,공개 preview,정상/부분 선택,허용 대상·공개 종류·검토 버전·검증 상태,선택/공개 확정,공개 요약,미공개 금액/대상 생략이 전체 승인처럼 표시되지 않음
V02,공개 preview,stale/검증 실패,보존 선택과 허용 문제,새로고침/다시 검토,오류 요약,계산 입력 재작성 강요 없음
V03,공개 결과,응답 유실,결과 확인중,같은 receipt 조회,진행 상태,새 publication 생성 금지
V04,나의 급여,공개 없음,공개된 검토본 없음,기간 문의,페이지 제목,내부 계산 유무/0원 추정 없음
V05,나의 급여,정상 공개,자기 검토본 금액·근거·버전·미지급 표시,항목 확인/정정 요청,결과 제목,legal issued/payment claim 없음
V06,나의 급여,부분 필드,권한 있는 항목만·허용 집계,허용 문의,결과 제목,숨긴 항목 역산·0원 대체 금지
V07,나의 급여,정정중/기준 확인불가,과거 결과와 현재 경고,상태 확인/문의,정정 상태,오래된 결과를 현재 확정으로 표시 금지
V08,나의 급여,정정본 공개,허용 과거/현재 결과와 의미 있는 차이,버전 비교/후속 문의,새 결과 제목,필요 근거 찾게 방치하지 않음
V09,나의 급여,퇴직 후/복수 고용,허용 issuer·과거 Employment별 결과,기록 선택/요청,기록 제목,활성 재직 강제 없음
V10,나의 급여,권한 거부/보안 중지,비공개 응답 또는 허용 복구 설명,허용 identity 복구,페이지 상태,존재/타인 신원 누출 금지
V11,정정 요청,입력/저장,원 항목·선택 type·설명·선택 기대값,저장/제출 preview,첫 미완료 입력,정확한 대체 금액이나 첨부 강요 없음
V12,정정 요청,제출 완료/담당 없음,접수 receipt·실제 처리 상태,내 요청 확인,접수 제목,배정 실패로 요청 소실 없음
V13,담당 처리,검토/추가 질문,최신 항목·서술·근거·답변,증빙 확인/질문/정정 연결/답변,다음 미응답 항목,읽음 체크가 답변 대체 아님
V14,담당 처리,답변 충돌,보존 답변과 새 제출 증거,다시 검토,충돌 요약,옛 revision 답변 확정 금지
V15,내 요청,정정 대기/완료,실제 공개된 결과·답변·변경,확인/후속 요청,답변 또는 결과 제목,수정 draft만으로 완료 금지
V16,업무 인계 요청,바쁨/업무지시,실제 task 선택·사유·기간·후보,요청 또는 권한 내 확정,인계 preview,부재 여부·직급은 권한 대체 아님
V17,업무 인계 결과,부분 완료/취소,허용 task별 실제 receipt와 남은 요청,중지/새 인계,결과 요약,완료된 인계를 몰래 되돌리지 않음
