id,contract,setup_or_race,required_oracle,status
P01,SG1,Concurrent new Employment absent from selected rows,Resolve entire guarded predicate; required new slot cannot disappear,NONEXECUTABLE_CANDIDATE
P02,SG1,Unrelated worker clock increments family,Revalidate same semantic basis; retain unaffected review,NONEXECUTABLE_CANDIDATE
P03,SG1,Missing initialized guard row,Unavailable; no lazy generation0,NONEXECUTABLE_CANDIDATE
P04,SG1,Legacy direct clock alias on enrolled Company,Delegates single attendance owner with same fences or refuses,NONEXECUTABLE_CANDIDATE
P05,SG1,Source writer also changes Cedar operand,Earlier Company authority exclusive then period/family/head,NONEXECUTABLE_CANDIDATE
P06,SG1,Source correction races calculation,Serial outcome under declared guards; no mixed source basis,NONEXECUTABLE_CANDIDATE
P07,SG1,Guard lock upgrade discovered after read,Rollback and replan; never upgrade in place,NONEXECUTABLE_CANDIDATE
P08,SG1,New global rules with old kernel,Drain and compatible immutable bundle; no mixed calculation,NONEXECUTABLE_CANDIDATE
P09,SG1,Family lock exceeds clock-save budget,Enrollment blocked pending measured refinement; never drop event,NONEXECUTABLE_CANDIDATE
P10,HT1,Employee exits after earning month before pay date,Historical month coverage retained despite closed current head,NONEXECUTABLE_CANDIDATE
P11,HT1,Two revisions of same Employment cover month,Retain segments; do not demand one unchanged revision,NONEXECUTABLE_CANDIDATE
P12,HT1,Missing earlier employee Employment association,UNKNOWN_BINDING; do not fabricate current-to-past history,NONEXECUTABLE_CANDIDATE
P13,HT1,Backdated EXITED segment inside open head,Segment state blocks; current ACTIVE cannot cover gap,NONEXECUTABLE_CANDIDATE
P14,HT1,Midmonth cross-site transfer intersects selected scope,Include required slot; unsupported allocation blocks,NONEXECUTABLE_CANDIDATE
P15,HT1,Equal-value new wage effective before pay date,Changed identity blocks narrow profile,NONEXECUTABLE_CANDIDATE
P16,HT1,Correction overlay concurrent same predecessor,Exactly one CAS successor; all enrolled readers use corrected resolver,NONEXECUTABLE_CANDIDATE
P17,HT1,Calendar has unclassified holiday or missing day,UNKNOWN_CALENDAR; no weekday counting fallback,NONEXECUTABLE_CANDIDATE
