id,class,key,current_mechanism,path,line,predicate,callers,caveat
K01,period_freeze,Company+domain; no month,exclusive advisory transaction,backend/crates/platform/db/src/period_lock.rs,115,active inclusive period overlap; absence through gated write commit,lifecycle244;attendance465;pay_run254;employment247,Canonical staging401 ungated; unlock330 separate row path
K02,attendance_close,Company+month; no branch,exclusive advisory transaction,backend/crates/attendance/adapter-postgres/src/lib.rs,928,open exceptions;pending leave;exact existing close,close446 checks447;close_checks1008,Leave/exception writers do not share this month key; snapshot semantics selected in CP28
K03,leave_submission,org:requester:submission_key seed166,exclusive advisory transaction,backend/crates/platform/db/migrations/0216_leave_requests_kr_labor_guardrails.sql,150,exact request replay,leave create557,also requester181 employee187 branch192
K04,leave_charge,request+resolution+employee ledger,row/advisory/conditional debit,backend/crates/platform/db/migrations/0217_leave_time_change_consult_mechanics.sql,101,version pending resolution exact debit and coverage predicates,leave decide941,branch roster predicate not stabilized merely by requester lock
K05,employee_day,Company+employee+date,exclusive advisory transaction,backend/crates/platform/db/migrations/0189_employee_day_eligibility_coordination.sql,3,assignment eligibility with overlapping leave/no-show,attendance313/856; triggers27/45/101;0217 line151,day granularity plus employee row; Rust869 half-day vs trigger72 any-day mismatch
K06,error_projection,enrolled response/log boundary,raw formatting observed,backend/app/src/lifecycle.rs,639,sensitive DB error must not flow into public logs,LifecycleError From/IntoResponse,source finding not evidence exfiltration occurred
K07,storage_delete,exact immutable provider version,external side effect,backend/crates/platform/storage/src/lib.rs,417,current issuance and exact deletion evidence,head_object_version432,method existence does not prove fencing or all-copy removal
K08,object_error,enrolled object response/log boundary,raw formatting observed,backend/app/src/objects.rs,2509,cross-tenant and private-field nondisclosure,ObjectError From/IntoResponse,logical theorem requires actual caller audit
K09,hr_error,enrolled HR response/log boundary,raw formatting observed,backend/app/src/hr.rs,8669,safe error observation and operational event,HrError From/IntoResponse,private command/receipt detail may reach formatted logs
K10,request_trace,request span and response event,shared middleware,backend/app/src/lib.rs,2974,public route template;no sensitive URI/query,request tracing helper,sink census remains bounded until executable reachability audit
