id,surface,state,visible,actions,focus,invariant
U01,내 업무,정상 배정,허용 업무·다음 행동·기한·관련 근거·저장 초안,업무 열기/허용 실행,작업 제목,배정이 결재 완료처럼 표시되지 않음
U02,부재 신청 결과,자동 인계 진행,허용 범위 업무의 진행과 예외,원 신청 확인/인계 상황,신청 결과 제목,대체자 지정은 휴가 필수 입력 아님
U03,담당 변경,선택/입력,권한 내 실제 task 단위·후보·기간,preview,첫 필수 입력,부분 비율 enum 대신 실제 task 선택
U04,담당 변경,preview 정상,허용 변경과 막힌 항목·확정 선택,confirm,변경 요약,미공개 후보 점수/업무량 생략
U05,담당 변경,stale conflict,보존 선택·현재 허용 충돌,refresh/다시 preview,오류 요약 후 해당 입력,후보를 몰래 바꾸지 않음
U06,업무 예외,후보 없음,허용된 배정 실패와 담당 경로,범위/가용성 수정 또는 정책 요청,예외 제목,비밀 원인은 uniform message
U07,업무 예외,탐색 불완전,아직 후보 탐색이 끝나지 않음,재시도/설정 검토,진행 상태,no eligible로 거짓 표시하지 않음
U08,업무 예외,설정 누락/과부하,허용 부족 조건과 복구 경로,담당/프로필 수정 요청,문제 요약,관리 권한 없으면 해당 액션 없음
U09,업무 인계,미확정 실행,허용된 확인중 상태·저장 입력 유지,결과 재확인,확인 상태,새 명령 실행 버튼 없음
U10,전사 작업,중지 권한 필요,허용 작업 중지 요청 상태,권한 있는 controller에게 요청,중지 필요 요약,다른 법인 수/내용 비공개
U11,초안,인계 완료,허용 입력과 필요한 근거·현재 담당,검토 후 새 seal,다음 미완료 입력,숨긴 필드는 지우지 않음
U12,초안,구 담당 탭,사용 가능한 저장 결과·권한 내 상태,새로고침/닫기,담당 변경 알림,기존 epoch 저장/실행 거부
U13,업무,복귀/임시 기간 종료,현재 담당과 허용 유효기간·예외,권한 내 갱신/안전 인계,유효기간 상태,sealed 작업 강탈 없음
U14,업무,없음/거부,허용된 빈 목록 또는 비공개 응답,권한 내 탐색,페이지 제목,숨긴 task 개수/존재 추측자료 없음
U15,인계 결과,응답 유실,접수/결과 확인중·보존 선택,같은 command receipt 조회,확인 상태,timeout을 no effect로 취급하지 않음
U16,업무,성공/종료,허용된 domain receipt와 완료 상태,결과 확인/다음 실제 업무,결과 제목,읽음/알림 ack로 완료하지 않음
