id,invariant,owner,selected_enforcement,counterexample
C01,Company identity closure,native owner,composite PK/UNIQUE plus org_id-bearing FK and FORCE RLS USING/WITH CHECK,foreign-Company child UUID accepted
C02,Mutable head matches exact immutable revision,owning adapter,composite FK; guarded CAS; deferrable constraint for atomic mutually dependent head creation,head points to absent/wrong-root revision
C03,Closed payload and immutable source identity,registered owner codec,reject unknown/missing/forbidden keys before owner insert; immutable trigger and exact schema/digest binding,generic JSON object passes with missing source fields
C04,No inherited privilege shortcut,platform/db,same-creation-tx REVOKE; exact grants; private SECURITY DEFINER helper ACL; real-role catalog proof,0031 gives runtime DML on newly created control
C05,Population slot cardinality and variants,payroll,composite keys/FKs; owner slot completeness constraint; RESOLVED/BLOCKED CHECK and registered source-slot multiplicity,BLOCKED slot has fabricated amount or resolved digest
C06,Calculation membership is exact input and batch,payroll,composite FK and owning completion constraint over authoritative immutable population; all-blocked batch still appended,orphan legacy line contributes to result
C07,One wage correction successor,payroll,"UNIQUE(org_id,base_wage_id,predecessor_revision), same-root predecessor and head CAS",two corrections advance same predecessor
C08,Historical coverage is complete and unambiguous,Employment/attendance,effective half-open bounds CHECK plus owner coverage/overlap checks under source-family guard; typed ambiguity blocks,current job alone represents entire earning month
C09,Source revision changes fence consumption,all source writers,preinitialized family guards; writer EXCLUSIVE plus generation change; reader SHARE to final transaction outcome,late wage write slips between source snapshot and commit
C10,Review request single binding,payroll/governance,basis one-time NULL to exact request CAS; same-Company FK; cycle membership basis_id only,cycle and basis disagree about approval request
C11,Individual review decision and conditional whole-cycle completion,payroll/governance/workflow,"At most one governance decision per exact request; unique completion per exact Company/cycle/revision. Same owning transaction commits decision, work outcome and receipt, evaluates full R/C coverage, and creates completion only when that coverage passes.","standalone governance append bypasses payroll owner evaluation/work/receipt, or first decision prematurely completes a two-obligation cycle"
C12,Period reservation does not overlap,payroll,native daterange exclusion on exact Company/subject/purpose live reservation; owner transitions release/replace atomically,concurrent overlapping runs both reserve
C13,Correction/publication lineage remains exact,payroll,unique predecessor successor; composite FK; STAGED successor with no current input; publication slot CAS,new correction starts with stale calculated inputs
C14,One accountable assignee per atomic task,workflow,"unique current assignment epoch, guarded task CAS; exact selected task set for partial workload",reason type permits ambiguous shared task accountability
C15,Charge and Company effect stay atomic,workflow/Group control,narrow protected Group counter/charge helper on same selected Company transaction; inherited total lock order,child effect committed but charge rolled back
C16,No successor after unknown effect,command/workflow,durable attempt and receipt fence; UNKNOWN retains charge and pin; reconcile exact target before transition,lease expiry implies no effect
C17,Group receipt does not become Company write,Group command owner,class6 Group command fence before parent; Company child takes parent SHARE without updating Group receipt,child upgrades parent lock or arms Group RLS
C18,Navigation has complete current denial boundaries,Account/policy/query owner,"guarded hint set plus generation, whole-scan stable-until across allow/deny/future transitions; pre-serialization projection",invisible grant changes while stale cursor continues
C19,Adoption survives draft disposal,object/Docs/domain owners,retained identity FK; exact independently readable snapshot adoption and draft-pin release in same transaction,lineage-only FK either blocks cleanup forever or deletes required evidence
C20,Pin and quarantine serialize,retention/object owner,unit guard EXCLUSIVE for eligibility/quarantine/pin mutation; any active chain pin blocks prepare,new dependency created after disposal manifest freezes
C21,Exact bounded SQL disposal receipt,retention/domain/erasure owner,registered exact targets plus delete/checkpoint/borrowed ledger append in one Company transaction; journal ACK before next batch,pool-owning audit append commits despite deleted batch rollback
C22,Cancellation cannot race first deletion,retention owner,same job generation guard; CANCEL_PENDING prohibits deletion; zero batches and no unknown provider effect; independent ACK then terminal,stale INTENT ACK revives cancelled job
C23,External effect is not a SQL transaction,storage/retention owner,"durable provider intent, exact immutable version identity, readback saga and UNKNOWN quarantine",latest-key 404 proves historical version removed
C24,Journal cannot accept a fork or stale currentness,independent holder,immutable bytes plus linearizable CAS head; signed nonce freshness/current key lineage and idempotent identity,orphan upload or old signed tip counted as accepted current event
C25,Restore cannot revive authority or disposed material,recovery/identity owners,"independent deployment fence; current authority recovery, typed disposition replay and dependency-scoped readmission receipt",old passkey mints fresh session or old payload becomes readable
C26,Resources bound whole process topology,platform/operations,actual login pool limits plus max replicas including surge/workers/reserved connections; measured whole-command deadlines,per-adapter default pools exceed max_connections
