id,scenario,given,required_outcome,contract_refs
N01,퇴사 후 정상 로그인·발급,A Employment 종료; 업무 역할 0개; 개인 passkey 보유,같은 계정/key로 개인 로그인 성공; A 업무 실패; 과거 A기록 선택→적격 증명서 발급/원 receipt·artifact 재조회,"EC1.3,EC1.4,EC1.9"
N02,마지막 고용 종료,모든 Employment 종료,현재 고용/ACTIVE CompanyActor 없이 개인 로그인·본인 기록 접근; 새 직원계정 생성 불필요,"EC1.1,EC1.4"
N03,다른 업무 보존,A퇴사; B의 독립적으로 유효한 업무권한 존재,A업무권한 회수; B별도권한 정상; 개인credential수/key 동일; 글로벌 session sweep 없음,EC1.3
N04,공통 계정·자원 정책,같은 Account로 본인기록과 별도 허용된 업무에 접근; 이전 업무권한 회수,진입경로나 내부/외부 명칭에 무관하게 현재 허용 자원·Action만 성공; 새 Account토큰을 legacy handler의 법인권한으로 오인하지 않음,"AM1.2,AM1.8,EC1.4"
N05,회사 관리자 계정 탈취 차단,Company UserManage/SubordinateUserCreate 보유 관리자,개인 계정 deactivate/reset/OTP발급·다른 회사권한 회수 불가; Company업무철회만 허용,"EC1.1,EC1.2"
N06,계정 보안 정지·복구,실제 account-security authority가 침해계정 정지,개인로그인/세션 차단 및 증거보존; 검증된 복구로 동일계정 회복; 퇴사처리와 다른경로,"EC1.1,EC1.7"
N07,사내 SSO만 있던 퇴사자,기업메일/SSO 이용 불가; 개인수단 사전등록 못함,본인 재검증을 통한 계정복구 요청 지속; 재직/회사관리자의 새계정 생성 요구 없이 복구,"EC1.2,EC1.7"
N08,개인 기록 IDOR,다른사람 Employment/certificate UUID 또는 다른tenant 참조,기록·존재·급여·동료정보 노출/발급 없음; 본인 과거기록은 정상,"EC1.4,EC1.7"
N09,과거기록 증명서 의미,ENDED Employment로 현재 재직 증명 type 선택,형식상 현재재직 사실을 만들지 않음; 적합한 과거이력 type·근거만 발급 가능,EC1.5
N10,발급 중 원천 정정·응답유실,preview후 source/template 변경; 별도 사례 issuecommit후 응답유실,전자는 새 사실 검토; 후자는 동일issue/receipt/artifact 회복; enqueue를 발급으로 표시하지 않음,"EC1.5,EC1.6"
N11,발급 담당 퇴사,담당변경/미배정·source보완 필요,현재 적격역할로 요청연속성 보존; 부재 시 담당연결필요 상태; Console지원이 issuer인척 발급하지 않음,EC1.6
N12,재입사,퇴사 후 동일인이 재입사,동일계정과 과거증명서 유지; 새Employment/권한 검증; old권한/승인/token 자동부활 없음,EC1.3
N13,법인 저장소 삭제 의존성,기존 법인 profile/evidence 의존성이 남음; 별도 Account-only 등록도 존재,미이전 의존성이 있으면 법인 hard-delete 차단; Account·credential 보존; 새 계정에 dummy Company/users 불필요,"AM1.3,EC1.8"
N14,타법인 실저장 양성,B관계 Account + A CompanyActor + 명시된 A정책grant + 검증subject,원 account UUID로 A wage/run/approval/receipt commit·readback; 가짜 A users row와 B payroll 효과 없음,"AI1.2,AI1.3,AI1.8"
N15,anchor는 권한 아님,"ACTIVE anchor, payroll grant 없음",관련 읽기/쓰기 실패; grant 추가 후 현재권한으로만 성공,"AI1.1,AI1.3"
N16,동일인 다른계정·나중 merge,동일subject alias; 다른subject였다가 pending중 merge,SOD거부; pendingproof stale·재검토; old완료receipt는 보존/후속 integrity hold,"AI1.4,AI1.6"
N17,등록 경쟁/회수,같은 expected binding version으로 상충등록; 계정/Group/targetscope회수,한 current binding 또는 conflict suspension; 회수commit뒤 oldproof new효과불가; ownhistorical권리와work회수 분리,"AI1.5,AI1.6"
N18,급여 결정·실행허가 구분,"S/D/Q/G actor matrix, 추가gate 유무","기본 S≠D; gate있으면 Q=D,Q≠G 및 명시policy; G허가만으로 payroll승인상태변경 없음","AC1.1,AC1.3"
N19,승인 대상 바꿔치기,type-only gate / 다른submission / 변경reason·amount·command,owner가 정확한효과digest 불일치 거부; 소비·급여효과없음; 원결과replay 별도,"AC1.2,AC1.4"
N20,승인완료 정정 양성,APPROVED/nonpayable/noexternal effect; 같은period 정정,새 STAGED successor; 이전 SUPERSEDED·승인이력보존; fresh계산/제출/독립결정 요구,AC1.5
N21,정정 동시성/응답유실,두 distinct supersede commands 경쟁; 별도 samecommandlostreply,current successor 하나; loser conflicts; 동일명령은 같은 predecessor/successor receipt; orphan없음,AC1.6
N22,정정 vs 지급/발급 경합,같은 predecessor에 schedule/issue/payable change와 supersede 경쟁,"공유fence로 하나의유효순서; 외부commit이 먼저면 정정거부, 정정먼저면 predecessor 후속효과거부",AC1.6
N23,잘못된 승인원천 회수,"approved old tax source revoked, 새 correction evidence 적격",old source가 invalid여도 정정시작 가능; 새prepare에는 유효source 요구; 영구차단루프 없음,AC1.6
N24,대체안 반려,successor REJECTED,그 successor에서 수정/재제출 가능; old승인안 부활/이력삭제 없음; 집계 active leaf만,AC1.5
N25,Account 보안과 업무 counter 분리,login originCompany=A이고 유일한Employment도A; 개인refreshfamily존재,A work_generation만 변경; old A업무토큰불가; account-security counter/개인refresh 유지; 모든roles없어도 같은계정 로그인/발급가능,"EC1.3,EC1.4"
N26,회사 없는 지원자 가입,Account 외 Company/users/Employee/Employment/work-role row 없음,자기 소유 인증으로 로그인·허용된 지원서 제출/본인상태 조회; dummy row·급여수준 인간검증 요구 없음,"AM1.3,AM1.4"
N27,지원→입사→퇴사 연속성,동일 Account의 지원서·검증된 채용·근로관계 종료,같은 계정으로 전환 없이 허용 업무와 본인증명서 이용; 구권한 자동부활 없음,"AM1.4,AM1.5,EC1.3"
