id,surface,source_path,source_anchor,required_change,contract
E01,Account state and offboarding,backend/crates/identity/adapter-postgres/src/lib.rs,deactivate_user; sweep_user_credentials_tx,Company relationship deactivation must not delete credentials; security action uses Account EXCLUSIVE,AS1
E02,WebAuthn and counters,backend/crates/platform/auth/src/webauthn.rs,finish_registration_in_tx; finish_authentication,"Account before key/ceremony, preserve counter/nonce/replay and existing-key enrollment proof",AS1
E03,Refresh and logout,backend/crates/platform/auth/src/refresh.rs,issue_family; rotate; revoke_family_for_logout,Account then family/token; same-Account FK; current global generation; migrated legacy family refresh refused regardless of recovery,AS1
E04,Signup and employer bootstrap,backend/crates/platform/provisioning/src/lib.rs,signup_open_member; OTP/reset persistence,No KNL/MEMBER creation for Account signup; employer token cannot authenticate migrated Account,AS1
E05,Auth REST aliases,backend/crates/platform/auth-rest/src/lib.rs,signup; redeem_otp; admin_credential_reset; delete_self_passkey; consent handlers,Delegate Account-aware owners; revoke old privileged employer effects; Account terms/audit,AS1
E06,Duplicate self-key routes,backend/crates/identity/rest/src/lib.rs,self passkey list/delete,"One auth owner, no independent count/delete transaction",AS1
E07,Context resolution,backend/crates/platform/request-context/src/lib.rs,resolve_principal_from_bearer_token,Account/session first; Company selected and authorized separately; no fake Principal roles; every successful legacy path permanently rejects subjects with account_security even for non-enrolled data,AS1/PA1
E08,Token protocol,backend/crates/platform/auth/src/jwt.rs,AccessClaims; verifier and issuer,Explicit ACCOUNT_V1 audience/kind +sid; incompatible parsers fail closed,AS1
E09,Bundle/assignment writes,backend/crates/identity/adapter-postgres/src/lib.rs,role writers; assignment replacement; version helpers,Company authority EXCLUSIVE before facts; append revisions and bump same tx; missing guard fails,PA1
E10,Cedar catalog/attachments,backend/crates/platform/authz-rest/src/store.rs,attach_object_policy; enforced loaders,"Same conn Company guard; complete current enforced set, no stale independent read tx",PA1
E11,Attachment definer,backend/crates/platform/db/migrations/0206_ont_policy_api_attach_command_role.sql,ont_policy_api.attach_object_policy,Next migration amends current function to acquire Company guard before catalog/audit writes,PA1
E12,Cedar evaluation and residual,backend/crates/platform/authz/src/cedar_pbac/engine.rs,evaluate; compile_bundle_from_sources,Reject errors even with Allow; account correlated clause schema,PA1
E13,Authored evaluation,backend/crates/platform/authz/src/cedar_pbac/authoring.rs,simulate; object_row_visible; property_field_visible,Do not discard diagnostic errors; simulation not authority,PA1
E14,Object queries/projection,backend/crates/ontology/adapter-postgres/src/instances.rs,visible_instances; list_instances_filtered; aggregate_instances,"Exact predicates before LIMIT, bounded DTO projection; no raw attributes/declared-only aggregate bypass",PA1
E15,Object policy/schema and route aliases,backend/crates/ontology/rest/src/lib.rs,object_view_policies; list/detail/history/aggregate/actions,"Cedar+property projection, query field permissions and schema mutation guard",PA1
E16,Workflow caller,backend/crates/workflow/runtime/src/authz_guard.rs,LegacyOnly / NotConfigured caller,Enrolled actual Cedar plus Company/work guard; no legacy escape for same data,PA1/TX1
E17,Company purge latest function,backend/crates/platform/db/migrations/0208_force_remove_maintenance_history_ordering.sql,catalog/direct dependent deletion,Fence direct and catalog-driven deletion; no Account/credential deletion by Company provenance,AS1
E18,Group topology,backend/crates/platform/provisioning/src/lib.rs,Group membership/create/remove owner commands,Group guard EXCLUSIVE before membership; initialize new Group guards atomically,PA1
E19,Canonical hierarchy and policy facts,backend/crates/ontology/canonical-adapter-postgres/src/org_unit.rs,OrgUnit owner mutation,Company authority EXCLUSIVE before registered hierarchy/containment fact changes,PA1
E20,Employment policy facts,backend/crates/ontology/canonical-adapter-postgres/src/employment.rs,write_in_tx and source-binding owner,Registered Employment-dependent authorization facts share Company authority guard; no default workforce prerequisite,PA1
E21,Schema mutation,backend/crates/platform/db/migrations/0165_ontology_object_type_key_revisions.sql,Object type/property/action revision owner functions,Authority guard before schema/field policy changes and exact compile/projection revalidation,PA1
E22,Field and owner changes,backend/crates/ontology/adapter-postgres/src/instances.rs,stage_revision_in_tx; create_link,Registered ownership/classification/relationship operands require early Company guard,PA1
