id,contract_refs,trigger,expected
A01,WA1.1,Six Companies assign same Account concurrently,Committed active charge sum never exceeds limit; losing transactions retry or queue without assignment
A02,WA1.1,Assignment transaction crashes between charge and draft update,All assignment charge custody receipt changes roll back together; no expiring reservation
A03,WA1.1,Target A worker is legally employed at B,A task changes under A RLS and original Account; no B business write or fake A Employment
A04,WA1.2,Role queued OPEN legacy task has no worker,UNASSIGNED and supervisor route; role key never converted into assignee or grant
A05,WA1.2,One task requested as partial sharing,Refuse ambiguous assignment; only definition-supported disjoint work units can be split
A06,WA1.2,Provider department belongs to another Company,Composite reference preserved; no cross-company OrgUnit reparent
A07,WA1.3,Same title two people different field grants,Eligibility differs by exact policy tuples; title supplies no right
A08,WA1.3,Employee broader authorized scope than CEO,Employee may qualify and CEO may fail; no rank ceiling
A09,WA1.3,Assigned-to-me policy initially denies unassigned recipient,Only authorized trusted exact proposed relation may satisfy conditional policy; actual final policy rechecked in transaction
A10,WA1.3,Client supplies arbitrary proposed assignment to eligibility probe,No client-controlled authority or arbitrary impersonation; reject
A11,WA1.3,Routing principal tries to seal or approve payroll,Deny human business effect; routing mandate only changes allowed metadata
A12,WA1.3,Recipient offline but otherwise eligible,Assignment may succeed; actual new human action waits for their valid session
A13,WA1.3,No supervisor or recovery channel configured,Routing activation blocked or unavailable; restricted operator alarm grants no repair/business access
A14,WA1.4,No capacity profile or work unit definition,CONFIGURATION_REQUIRED; no infinite or zero-charge assignment
A15,WA1.4,Account has 9 units used of10; new work costs2,Reject positive admission; existing work retained
A16,WA1.4,Limit reduced below existing used units,OVER_CAPACITY; preserve charges; allow release and transfer out only
A17,WA1.4,Source records sick absence but notification delayed,Synchronous availability fence blocks stale new effects; durable event eventually drives routing
A18,WA1.4,External availability source stale or conflicting,UNKNOWN blocks dependent assignment/effect; owner manual typed correction with provenance
A19,WA1.4,Missing clock event,No inferred unauthorized absence or discipline
A20,WA1.4,Leave approved but no substitute,Operational exception only; leave decision unchanged
A21,WA1.4,Assignment waiting for external evidence or unknown execution,Charge remains; no TTL release
